# Tasks — C++ pixel coords (original image, y=0 at top)
# Format: Task ID: pickup=(px,py) delivery=(px,py)

Task 0: pickup=(3173,654) delivery=(3045,625)
Task 1: pickup=(2840,659) delivery=(2766,712)
Task 2: pickup=(3086,543) delivery=(3223,613)
Task 3: pickup=(3103,635) delivery=(3023,546)
Task 4: pickup=(2975,586) delivery=(3237,663)
Task 5: pickup=(3256,629) delivery=(2906,623)
Task 6: pickup=(2596,723) delivery=(2333,618)
Task 7: pickup=(2303,682) delivery=(2631,728)
Task 8: pickup=(2242,414) delivery=(2041,166)
Task 9: pickup=(2021,206) delivery=(1863,303)
Task 10: pickup=(1978,161) delivery=(2211,502)
Task 11: pickup=(1016,288) delivery=(891,351)
Task 12: pickup=(767,402) delivery=(1098,317)
Task 13: pickup=(1228,305) delivery=(1439,343)
Task 14: pickup=(1408,375) delivery=(1171,291)
Task 15: pickup=(690,402) delivery=(637,301)
Task 16: pickup=(551,327) delivery=(551,468)
Task 17: pickup=(613,433) delivery=(593,301)
Task 18: pickup=(468,504) delivery=(394,608)
Task 19: pickup=(384,671) delivery=(474,546)
Task 20: pickup=(3427,605) delivery=(3598,675)
Task 21: pickup=(3624,704) delivery=(3396,661)
Task 22: pickup=(3475,716) delivery=(3557,868)
Task 23: pickup=(3680,767) delivery=(3713,1004)
Task 24: pickup=(4100,982) delivery=(3814,946)
Task 25: pickup=(4158,1034) delivery=(3847,1014)
Task 26: pickup=(4274,1120) delivery=(4048,1111)
Task 27: pickup=(4331,1164) delivery=(4397,1332)
Task 28: pickup=(3908,961) delivery=(4252,1293)
Task 29: pickup=(4006,958) delivery=(4255,1317)
Task 30: pickup=(3832,1014) delivery=(2931,630)
Task 31: pickup=(1619,256) delivery=(2918,706)
Task 32: pickup=(1889,243) delivery=(3512,629)
Task 33: pickup=(3516,779) delivery=(1933,200)
Task 34: pickup=(3735,861) delivery=(1573,258)
Task 35: pickup=(1073,288) delivery=(2779,736)
Task 36: pickup=(2660,766) delivery=(1527,258)
Task 37: pickup=(925,309) delivery=(3701,1014)
Task 38: pickup=(3763,936) delivery=(1549,255)
Task 39: pickup=(3513,616) delivery=(2324,598)
Task 40: pickup=(836,371) delivery=(3936,1055)
Task 41: pickup=(3850,941) delivery=(3694,775)
Task 42: pickup=(3617,685) delivery=(3716,1010)
Task 43: pickup=(2489,745) delivery=(2215,342)
Task 44: pickup=(459,571) delivery=(526,441)
Task 45: pickup=(411,554) delivery=(968,353)
Task 46: pickup=(1201,338) delivery=(1515,267)
Task 47: pickup=(1555,306) delivery=(2402,720)
Task 48: pickup=(2492,709) delivery=(2061,342)
Task 49: pickup=(1932,295) delivery=(2114,508)
Task 50: pickup=(3393,662) delivery=(3336,557)
Task 51: pickup=(3290,547) delivery=(3256,669)
Task 52: pickup=(4052,1111) delivery=(3615,690)
Task 53: pickup=(3628,1005) delivery=(2726,755)
Task 54: pickup=(2849,720) delivery=(2894,712)
Task 55: pickup=(2532,755) delivery=(1840,358)
Task 56: pickup=(1712,377) delivery=(353,712)
Task 57: pickup=(598,320) delivery=(744,365)
Task 58: pickup=(870,395) delivery=(1018,271)
Task 59: pickup=(1065,306) delivery=(1196,309)
Task 60: pickup=(1275,373) delivery=(1612,234)
Task 61: pickup=(1634,328) delivery=(1756,271)
Task 62: pickup=(1932,187) delivery=(2279,621)
Task 63: pickup=(4037,1102) delivery=(4109,1001)
Task 64: pickup=(3713,809) delivery=(3738,1005)
Task 65: pickup=(3464,694) delivery=(3544,629)
Task 66: pickup=(3391,585) delivery=(3073,629)
Task 67: pickup=(3029,663) delivery=(2733,755)
Task 68: pickup=(2680,735) delivery=(3053,539)
Task 69: pickup=(2274,507) delivery=(2393,718)
Task 70: pickup=(1381,297) delivery=(1138,288)
Task 71: pickup=(945,313) delivery=(813,386)
Task 72: pickup=(316,699) delivery=(417,627)
Task 73: pickup=(411,578) delivery=(559,465)
Task 74: pickup=(644,301) delivery=(2219,364)
Task 75: pickup=(2383,726) delivery=(3509,760)
Task 76: pickup=(2349,632) delivery=(1904,231)
Task 77: pickup=(2273,510) delivery=(1521,265)
Task 78: pickup=(2315,574) delivery=(1239,344)
Task 79: pickup=(1164,297) delivery=(1750,271)
