# Tasks — C++ pixel coords (original image, y=0 at top)
# Format: Task ID: pickup=(px,py) delivery=(px,py)

Task 0: pickup=(4008,1087) delivery=(3568,906)
Task 1: pickup=(3953,968) delivery=(3657,742)
Task 2: pickup=(3529,600) delivery=(2995,561)
Task 3: pickup=(2841,653) delivery=(2471,703)
Task 4: pickup=(2262,481) delivery=(2167,236)
Task 5: pickup=(2143,261) delivery=(2227,551)
Task 6: pickup=(2167,516) delivery=(2100,376)
Task 7: pickup=(1072,273) delivery=(1329,286)
Task 8: pickup=(1042,304) delivery=(1364,384)
Task 9: pickup=(1290,374) delivery=(941,376)
Task 10: pickup=(970,296) delivery=(785,372)
Task 11: pickup=(865,415) delivery=(629,423)
Task 12: pickup=(549,464) delivery=(477,581)
Task 13: pickup=(448,625) delivery=(355,715)
Task 14: pickup=(335,670) delivery=(4109,1011)
Task 15: pickup=(4049,1118) delivery=(3486,727)
Task 16: pickup=(3365,666) delivery=(3032,631)
Task 17: pickup=(3018,690) delivery=(2819,721)
Task 18: pickup=(2595,766) delivery=(2358,715)
Task 19: pickup=(2280,653) delivery=(2071,485)
Task 20: pickup=(1980,308) delivery=(1982,224)
Task 21: pickup=(1972,177) delivery=(1865,302)
Task 22: pickup=(1668,277) delivery=(1734,384)
Task 23: pickup=(1625,331) delivery=(1021,286)
Task 24: pickup=(2303,526) delivery=(2354,698)
Task 25: pickup=(2424,723) delivery=(2964,592)
Task 26: pickup=(3043,549) delivery=(3256,672)
Task 27: pickup=(3562,635) delivery=(3525,801)
Task 28: pickup=(3817,1017) delivery=(2517,748)
Task 29: pickup=(2044,493) delivery=(2260,616)
Task 30: pickup=(2063,411) delivery=(1843,374)
Task 31: pickup=(1791,275) delivery=(1685,362)
Task 32: pickup=(1563,257) delivery=(1229,335)
Task 33: pickup=(949,349) delivery=(579,312)
Task 34: pickup=(540,320) delivery=(534,401)
Task 35: pickup=(483,491) delivery=(2215,345)
Task 36: pickup=(2036,166) delivery=(2884,707)
Task 37: pickup=(3626,694) delivery=(2718,764)
Task 38: pickup=(2354,717) delivery=(1670,366)
Task 39: pickup=(1736,269) delivery=(1185,325)
Task 40: pickup=(1181,298) delivery=(760,405)
Task 41: pickup=(744,380) delivery=(2412,682)
Task 42: pickup=(2498,764) delivery=(3739,807)
Task 43: pickup=(3727,836) delivery=(3546,846)
Task 44: pickup=(3195,668) delivery=(3712,791)
Task 45: pickup=(2605,729) delivery=(2907,703)
Task 46: pickup=(2921,664) delivery=(3121,633)
Task 47: pickup=(3145,600) delivery=(3799,929)
Task 48: pickup=(4320,1153) delivery=(4407,1313)
Task 49: pickup=(4207,1268) delivery=(4436,1233)
Task 50: pickup=(4162,1049) delivery=(4256,1097)
Task 51: pickup=(4243,855) delivery=(3943,957)
Task 52: pickup=(3985,1069) delivery=(3562,887)
Task 53: pickup=(3741,1014) delivery=(606,431)
Task 54: pickup=(4037,1111) delivery=(1215,307)
Task 55: pickup=(676,333) delivery=(4146,1029)
Task 56: pickup=(536,391) delivery=(3946,1049)
Task 57: pickup=(367,690) delivery=(3379,574)
Task 58: pickup=(425,546) delivery=(3597,664)
Task 59: pickup=(519,462) delivery=(3538,825)
Task 60: pickup=(630,307) delivery=(3680,755)
Task 61: pickup=(915,329) delivery=(3913,964)
Task 62: pickup=(939,310) delivery=(3817,1019)
Task 63: pickup=(1139,281) delivery=(3877,1040)
Task 64: pickup=(3888,954) delivery=(382,625)
Task 65: pickup=(3778,1007) delivery=(2134,218)
Task 66: pickup=(3862,940) delivery=(2076,190)
Task 67: pickup=(3841,1022) delivery=(1910,219)
Task 68: pickup=(2879,704) delivery=(1892,221)
Task 69: pickup=(2783,736) delivery=(1910,228)
Task 70: pickup=(1896,262) delivery=(2677,764)
Task 71: pickup=(1954,291) delivery=(2230,418)
Task 72: pickup=(2197,303) delivery=(1630,250)
Task 73: pickup=(1743,378) delivery=(1898,315)
Task 74: pickup=(1535,295) delivery=(3126,551)
Task 75: pickup=(3247,534) delivery=(3591,675)
Task 76: pickup=(3247,632) delivery=(3449,673)
Task 77: pickup=(3737,891) delivery=(3367,605)
Task 78: pickup=(3807,935) delivery=(3372,627)
Task 79: pickup=(2353,630) delivery=(1216,339)
Task 80: pickup=(892,353) delivery=(598,430)
Task 81: pickup=(445,517) delivery=(2519,706)
Task 82: pickup=(2552,760) delivery=(3422,586)
Task 83: pickup=(3682,774) delivery=(3836,1031)
Task 84: pickup=(3675,742) delivery=(2864,661)
Task 85: pickup=(2679,738) delivery=(2245,471)
Task 86: pickup=(1699,296) delivery=(1807,358)
Task 87: pickup=(1495,265) delivery=(1226,308)
Task 88: pickup=(897,336) delivery=(700,370)
Task 89: pickup=(425,598) delivery=(2968,707)
Task 90: pickup=(3497,766) delivery=(3542,851)
Task 91: pickup=(3526,805) delivery=(3660,992)
Task 92: pickup=(3593,930) delivery=(404,649)
Task 93: pickup=(4075,897) delivery=(3914,1049)
Task 94: pickup=(1403,365) delivery=(1397,311)
Task 95: pickup=(2487,705) delivery=(2948,603)
Task 96: pickup=(2907,632) delivery=(3472,609)
Task 97: pickup=(3454,595) delivery=(3114,548)
Task 98: pickup=(3633,992) delivery=(4102,1142)
Task 99: pickup=(4140,1166) delivery=(4294,1118)
Task 100: pickup=(4252,1097) delivery=(4166,1209)
Task 101: pickup=(4286,1363) delivery=(3489,613)
Task 102: pickup=(4175,1222) delivery=(2965,590)
Task 103: pickup=(4153,1176) delivery=(2649,733)
Task 104: pickup=(2223,561) delivery=(2583,727)
